airport,lat,long,year,total_passengers
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2015,16255520
Logan International Airport,42.3630236,-71.01340798670637,2015,16290362
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2015,17634252
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2015,18684818
Orlando International Airport,28.412903550000003,-81.30944309752753,2015,18759938
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2015,20595874
Miami International Airport,25.7949789,-80.28672341095405,2015,20986341
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2015,21231781
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2015,21351445
McCarran International Airport,36.0861034,-115.16111989849915,2015,21824231
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2015,21913166
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2015,24190549
Denver International Airport,39.8606676,-104.68536732610298,2015,26280043
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2015,27782369
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2015,31589832
O'Hare International Airport,41.977984899999996,-87.90917993412859,2015,36305668
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2015,36351226
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2015,49340732
Nashville International Airport,36.11958985,-86.68308703291842,2016,6338517
Dallas Love Field,32.84524055,-96.84732187569065,2016,7554596
Portland International Airport,45.587132600000004,-122.59277984939183,2016,9071154
Tampa International Airport,27.9791649,-82.5349276153517,2016,9194994
San Diego International Airport,32.73336075,-117.19224641277626,2016,10340164
Washington Dulles International Airport,38.95226625,-77.45342297783296,2016,10596942
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2016,11044353
Philadelphia International Airport,39.875018,-75.23521278969667,2016,11143738
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2016,11470854
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2016,12340972
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2016,14263270
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2016,14564419
LaGuardia Airport[18],40.7757145,-73.87336398511545,2016,14706123
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2016,16826287
Logan International Airport,42.3630236,-71.01340798670637,2016,17749202
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2016,18123844
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2016,19923009
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2016,20062072
Orlando International Airport,28.412903550000003,-81.30944309752753,2016,20283541
Miami International Airport,25.7949789,-80.28672341095405,2016,20875813
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2016,20896265
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2016,21511880
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2016,21887110
McCarran International Airport,36.0861034,-115.16111989849915,2016,22833267
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2016,25707101
Denver International Airport,39.8606676,-104.68536732610298,2016,28267394
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2016,29239151
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2016,31283579
O'Hare International Airport,41.977984899999996,-87.90917993412859,2016,37589899
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2016,39636042
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2016,50501858
Nashville International Airport,36.11958985,-86.68308703291842,2017,7015119
Dallas Love Field,32.84524055,-96.84732187569065,2017,7876769
Portland International Airport,45.587132600000004,-122.59277984939183,2017,9435473
Tampa International Airport,27.9791649,-82.5349276153517,2017,9548580
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2017,10912074
Washington Dulles International Airport,38.95226625,-77.45342297783296,2017,11024306
San Diego International Airport,32.73336075,-117.19224641277626,2017,11139933
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2017,11506310
Philadelphia International Airport,39.875018,-75.23521278969667,2017,11615954
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2017,12976554
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2017,14271243
LaGuardia Airport[18],40.7757145,-73.87336398511545,2017,14614802
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2017,15817043
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2017,17036092
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2017,18409704
Logan International Airport,42.3630236,-71.01340798670637,2017,18759742
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2017,19603731
Miami International Airport,25.7949789,-80.28672341095405,2017,20709225
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2017,21185458
Orlando International Airport,28.412903550000003,-81.30944309752753,2017,21565448
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2017,21571198
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2017,22011251
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2017,22639124
McCarran International Airport,36.0861034,-115.16111989849915,2017,23364393
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2017,26900048
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2017,29533154
Denver International Airport,39.8606676,-104.68536732610298,2017,29809097
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2017,31816933
O'Hare International Airport,41.977984899999996,-87.90917993412859,2017,38593028
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2017,41232432
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2017,50251964
Nashville International Airport,36.11958985,-86.68308703291842,2018,8007049
Dallas Love Field,32.84524055,-96.84732187569065,2018,8134848
Portland International Airport,45.587132600000004,-122.59277984939183,2018,9940866
Tampa International Airport,27.9791649,-82.5349276153517,2018,10369622
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2018,10685565
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2018,11367176
Washington Dulles International Airport,38.95226625,-77.45342297783296,2018,11628309
San Diego International Airport,32.73336075,-117.19224641277626,2018,12176303
Philadelphia International Airport,39.875018,-75.23521278969667,2018,12228677
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2018,13373773
LaGuardia Airport[18],40.7757145,-73.87336398511545,2018,15059648
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2018,15285948
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2018,17437716
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2018,17613957
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2018,18363493
Logan International Airport,42.3630236,-71.01340798670637,2018,20010262
Miami International Airport,25.7949789,-80.28672341095405,2018,21025210
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2018,21157948
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2018,21623842
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2018,22283574
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2018,22798354
Orlando International Airport,28.412903550000003,-81.30944309752753,2018,23184634
McCarran International Airport,36.0861034,-115.16111989849915,2018,23655285
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2018,24894338
